"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"2006Q4",8.58663577517669,8.58663577517669,8.58663577517669,8.58663577517669,6.96289727504205,6.96289727504205,6.96289727504205,6.96289727504205,5.25908452581737,5.25908452581737,5.25908452581737,5.25908452581737,8.01229509281133,8.01229509281133,8.01229509281133,8.01229509281133,5.04609303828091,5.04609303828091,5.04609303828091,5.04609303828091,4.35154974375921,8.58663577517669,6.96289727504205,5.25908452581737,8.01229509281133,5.04609303828091,4.35154974375921
"2007Q1",8.30887602194608,8.30887602194608,8.30887602194608,8.30887602194608,6.52930638396556,6.52930638396556,6.52930638396556,6.52930638396556,4.84225512885965,4.84225512885965,4.84225512885965,4.84225512885965,7.79906910616276,7.79906910616276,7.79906910616276,7.79906910616276,4.76420312932938,4.76420312932938,4.76420312932938,4.76420312932938,3.89822295214225,8.30887602194608,6.52930638396556,4.84225512885965,7.79906910616276,4.76420312932938,3.89822295214225
"2007Q2",8.20271993663935,8.20271993663935,8.20271993663935,8.20271993663935,6.30377284477909,6.30377284477909,6.30377284477909,6.30377284477909,4.88455980259911,4.88455980259911,4.88455980259911,4.88455980259911,7.88991536520533,7.88991536520533,7.88991536520533,7.88991536520533,4.60102722873003,4.60102722873003,4.60102722873003,4.60102722873003,3.79374384576374,8.20271993663935,6.30377284477909,4.88455980259911,7.88991536520533,4.60102722873003,3.79374384576374
"2007Q3",7.86526836531281,7.86526836531281,7.86526836531281,7.86526836531281,6.12569669502807,6.12569669502807,6.12569669502807,6.12569669502807,5.00939728246087,5.00939728246087,5.00939728246087,5.00939728246087,7.59713179484561,7.59713179484561,7.59713179484561,7.59713179484561,4.84336262673823,4.84336262673823,4.84336262673823,4.84336262673823,4.09622367142232,7.86526836531281,6.12569669502807,5.00939728246087,7.59713179484561,4.84336262673823,4.09622367142232
"2007Q4",7.6191906289246,7.6191906289246,7.6191906289246,7.6191906289246,5.99766683225742,5.99766683225742,5.99766683225742,5.99766683225742,4.81529160402426,4.81529160402426,4.81529160402426,4.81529160402426,7.33785306329679,7.33785306329679,7.33785306329679,7.33785306329679,4.66071993876671,4.66071993876671,4.66071993876671,4.66071993876671,3.96787577666914,7.6191906289246,5.99766683225742,4.81529160402426,7.33785306329679,4.66071993876671,3.96787577666914
"2008Q1",7.25346526339322,7.25346526339322,7.25346526339322,7.25346526339322,5.71046397920705,5.71046397920705,5.71046397920705,5.71046397920705,4.55113894173557,4.55113894173557,4.55113894173557,4.55113894173557,6.97133990330604,6.97133990330604,6.97133990330604,6.97133990330604,4.38049339290287,4.38049339290287,4.38049339290287,4.38049339290287,3.69434340804512,7.25346526339322,5.71046397920705,4.55113894173557,6.97133990330604,4.38049339290287,3.69434340804512
"2008Q2",6.96386370599757,6.96386370599757,6.96386370599757,6.96386370599757,5.50851436623428,5.50851436623428,5.50851436623428,5.50851436623428,4.52027750960506,4.52027750960506,4.52027750960506,4.52027750960506,6.81836061740358,6.81836061740358,6.81836061740358,6.81836061740358,4.37811790831819,4.37811790831819,4.37811790831819,4.37811790831819,3.74744847616353,6.96386370599757,5.50851436623428,4.52027750960506,6.81836061740358,4.37811790831819,3.74744847616353
"2008Q3",7.75629265147458,7.75629265147458,7.75629265147458,7.75629265147458,6.46219899400895,6.46219899400895,6.46219899400895,6.46219899400895,4.60470284618635,4.60470284618635,4.60470284618635,4.60470284618635,7.02301356895644,7.02301356895644,7.02301356895644,7.02301356895644,4.57243094724204,4.57243094724204,4.57243094724204,4.57243094724204,4.04234228628081,7.75629265147458,6.46219899400895,4.60470284618635,7.02301356895644,4.57243094724204,4.04234228628081
"2008Q4",8.02693756185112,8.02693756185112,8.02693756185112,8.02693756185112,6.75681162980161,6.75681162980161,6.75681162980161,6.75681162980161,5.02552811838737,5.02552811838737,5.02552811838737,5.02552811838737,7.35920993514854,7.35920993514854,7.35920993514854,7.35920993514854,5.03777536753478,5.03777536753478,5.03777536753478,5.03777536753478,4.64053933022578,8.02693756185112,6.75681162980161,5.02552811838737,7.35920993514854,5.03777536753478,4.64053933022578
"2009Q1",7.89925950115906,7.89925950115906,7.89925950115906,7.89925950115906,6.80464320577378,6.80464320577378,6.80464320577378,6.80464320577378,4.94169576959367,4.94169576959367,4.94169576959367,4.94169576959367,7.20964565735048,7.20964565735048,7.20964565735048,7.20964565735048,4.96273803649577,4.96273803649577,4.96273803649577,4.96273803649577,4.52140419054074,7.89925950115906,6.80464320577378,4.94169576959367,7.20964565735048,4.96273803649577,4.52140419054074
